Feature,Instance,LocX,LocY
1,1,426.07,821.38
1,2,493.98,812.27
1,3,841.48,933.45
1,4,230.13,799.83
1,5,384.24,37.16
1,6,1004.49,635.05
1,7,759.21,72.06
1,8,902.37,682.76
1,9,98.46,109.49
1,10,778.52,359.4
1,11,84.72,392.57
1,12,924.41,50.29
1,13,231.02,865.42
1,14,907.51,327.12
1,15,616.33,944.93
1,16,766.34,706.72
1,17,278.45,982.38
1,18,630.33,613.97
1,19,830.07,292.8
1,20,641.86,509.31
1,21,471.27,18.23
1,22,414.05,235.24
1,23,730.0,507.12
1,24,404.24,531.9
1,25,284.41,606.95
1,26,1002.73,629.15
1,27,356.86,649.7
1,28,718.27,911.24
1,29,410.26,978.49
1,30,267.56,504.44
1,31,716.96,811.87
1,32,749.9,263.6
1,33,124.56,920.45
1,34,817.81,458.08
1,35,928.44,134.1
1,36,814.64,837.62
1,37,812.27,92.06
1,38,155.57,122.09
1,39,298.86,879.01
1,40,967.57,80.47
1,41,836.99,447.44
1,42,355.04,882.25
1,43,87.58,309.89
1,44,943.35,822.24
1,45,142.35,692.25
1,46,14.9,145.06
1,47,343.72,689.8
1,48,567.98,691.97
1,49,431.96,871.03
1,50,155.52,363.67
1,51,18.8,215.59
1,52,147.44,478.92
1,53,295.16,751.73
1,54,364.1,244.96
1,55,902.48,127.85
1,56,603.28,684.6
1,57,278.13,728.33
1,58,99.98,205.39
1,59,203.59,625.75
1,60,517.93,885.33
1,61,482.62,543.73
1,62,152.29,858.12
1,63,42.02,723.4
1,64,897.76,391.95
1,65,127.15,513.3
1,66,849.74,702.56
1,67,28.26,207.07
1,68,443.2,390.02
1,69,140.27,346.83
1,70,918.0,960.24
1,71,892.69,606.8
1,72,190.48,118.85
1,73,332.22,75.19
1,74,708.35,283.06
1,75,330.26,444.35
1,76,703.86,167.76
1,77,918.14,718.78
1,78,170.94,812.36
1,79,754.75,843.3
1,80,35.92,662.77
1,81,817.6,107.56
1,82,118.82,111.63
1,83,445.66,142.27
1,84,229.37,564.63
1,85,723.39,834.44
1,86,930.53,456.03
1,87,958.79,495.42
1,88,778.22,732.4
1,89,991.02,633.84
1,90,896.38,264.26
1,91,512.33,69.44
1,92,403.67,115.47
1,93,507.73,191.2
1,94,946.1,545.05
1,95,880.72,182.66
1,96,565.93,20.31
1,97,287.94,951.1
1,98,850.02,993.4
1,99,789.81,558.01
1,100,464.77,427.67
1,101,248.25,568.08
1,102,48.58,789.82
1,103,912.56,517.86
1,104,89.9,685.26
1,105,561.67,947.5
1,106,712.67,381.79
1,107,303.77,465.33
1,108,230.85,740.25
1,109,649.49,653.39
1,110,731.16,604.61
1,111,221.98,776.88
1,112,33.94,385.32
1,113,165.51,915.22
1,114,942.45,1001.01
1,115,454.25,471.61
1,116,584.61,858.06
1,117,526.77,698.8
1,118,681.25,203.44
1,119,472.34,397.44
1,120,156.25,691.3
1,121,397.56,470.79
1,122,959.29,302.75
1,123,783.23,918.13
1,124,234.47,65.41
1,125,169.41,554.9
1,126,633.6,666.77
1,127,244.79,634.0
1,128,323.62,731.46
1,129,301.87,300.8
1,130,906.83,129.0
1,131,265.05,1006.0
1,132,666.89,50.99
1,133,567.25,68.69
1,134,775.75,208.21
1,135,914.29,19.7
1,136,787.57,483.47
